Treating.Clinician,Number_of_patient_Seen,Number_of_patient_Seen_with_ondansetron,ondansetron_proportion
90119988,7,0,0%
90122677,6,0,0%
90123231,20,0,0%
90123234,25,1,4%
90123243,5,0,0%
90123244,3,0,0%
90123255,3,0,0%
90123258,11,0,0%
90123261,3,0,0%
90123262,12,1,8%
90123265,16,1,6%
90123269,1,0,0%
90123274,28,1,4%
90123276,1,0,0%
90123277,1,0,0%
90123284,5,0,0%
90123291,2,0,0%
90123295,17,0,0%
90123296,4,0,0%
90123301,6,1,17%
90123307,1,0,0%
90123312,8,0,0%
90123315,1,0,0%
90123323,4,0,0%
90123332,1,0,0%
90123335,2,0,0%
90123337,11,0,0%
90123338,2,0,0%
90123339,1,0,0%
90124199,13,0,0%
90124200,5,0,0%
90124202,26,1,4%
90124438,21,1,5%
90124439,19,0,0%
90124440,36,0,0%
90124441,15,0,0%
90124443,3,0,0%
90124444,1,0,0%
90124445,9,0,0%
90124446,10,0,0%
90124447,21,0,0%
90124449,8,0,0%
90124452,3,0,0%
90124464,5,0,0%
90124491,5,0,0%
90124501,7,0,0%
90124502,8,0,0%
90124508,14,2,14%
90124539,1,0,0%
90124543,8,0,0%
90124547,1,0,0%
90124552,4,0,0%
90124570,2,0,0%
90124574,19,0,0%
90124598,2,0,0%
90124612,8,0,0%
90124618,1,0,0%
90124642,12,0,0%
90124936,9,0,0%
90124939,2,0,0%
90127515,1,0,0%
90132167,36,1,3%
90135325,19,0,0%
90136829,2,0,0%
90137181,5,0,0%
90137813,19,0,0%
90140200,3,0,0%
90141463,1,0,0%
90141465,3,0,0%
90141583,4,0,0%
90142792,2,0,0%
90142803,2,0,0%
90142808,5,0,0%
90142809,1,0,0%
90142812,6,0,0%
90142824,4,0,0%
90142827,12,1,8%
90142841,27,0,0%
90142861,1,0,0%
90142863,1,0,0%
90142868,12,0,0%
90142876,3,0,0%
90142879,2,0,0%
90144220,5,0,0%
90144606,1,0,0%
90144629,34,1,3%
90144646,14,0,0%
90144738,4,0,0%
90144872,50,0,0%
90144933,20,1,5%
90144951,12,1,8%
90145292,3,0,0%
90145323,2,0,0%
90145385,5,0,0%
90145408,20,0,0%
90145489,13,1,8%
90145507,1,0,0%
90145525,11,0,0%
90145734,1,0,0%
90145741,10,0,0%
90145753,8,0,0%
90145756,3,0,0%
90145758,3,0,0%
90145901,58,6,10%
90146246,5,0,0%
90146286,1,0,0%
90148355,7,0,0%
90148374,4,0,0%
90151693,1,1,100%
90152266,2,0,0%
90152983,4,0,0%
90153760,9,1,11%
90154175,13,1,8%
90154195,4,0,0%
90154449,2,0,0%
90155074,10,1,10%
90158840,1,0,0%
90160353,2,0,0%
90160495,2,0,0%
90160622,1,0,0%
90160654,4,0,0%
90160655,1,0,0%
90161039,4,0,0%
90161096,5,0,0%
90161173,3,0,0%
90161944,5,0,0%
90162065,40,1,2%
90162082,8,0,0%
90162770,14,0,0%
90162832,1,0,0%
90162877,2,0,0%
90162880,9,0,0%
90162925,30,0,0%
90162953,4,0,0%
90163090,1,0,0%
90163243,18,0,0%
90164074,1,0,0%
90164194,3,0,0%
90164305,9,0,0%
