Treating Clinician,Number of Patients Seen,Number of Patients Seen Paracetamol,Proportion of Paracetamol ,Hospital
90004171,3,0,0%,Casey
90006510,3,0,0%,Casey
90007275,19,1,5%,Casey
90013900,28,5,18%,Casey
90015608,3,1,33%,Casey
90018068,23,3,13%,Casey
90018083,6,0,0%,Casey
90018863,18,2,11%,Casey
90022335,3,1,33%,Casey
90024223,19,3,16%,Casey
90028087,6,0,0%,Casey
90029255,1,0,0%,Casey
90031199,4,1,25%,Casey
90033661,3,1,33%,Casey
90033803,1,0,0%,Casey
90039000,9,2,22%,Casey
90039551,12,1,8%,Casey
90044868,13,3,23%,Casey
90053104,16,3,19%,Casey
90053418,2,1,50%,Casey
90053715,20,5,25%,Casey
90054690,17,4,24%,Casey
90055388,4,1,25%,Casey
90056621,14,3,21%,Casey
90057415,5,2,40%,Casey
90059584,5,1,20%,Casey
90060945,1,0,0%,Casey
90061220,7,1,14%,Casey
90068451,1,0,0%,Casey
90071662,20,4,20%,Casey
90071676,5,0,0%,Casey
90071914,5,0,0%,Casey
90075767,19,5,26%,Casey
90076316,11,2,18%,Casey
90078140,5,1,20%,Casey
90078814,6,3,50%,Casey
90081957,3,0,0%,Casey
90082515,25,3,12%,Casey
90082606,1,0,0%,Casey
90082724,21,3,14%,Casey
90083027,15,4,27%,Casey
90083180,12,2,17%,Casey
90085012,4,1,25%,Casey
90088199,15,2,13%,Casey
90090296,7,1,14%,Casey
90093190,5,1,20%,Casey
90097823,12,2,17%,Casey
90098181,2,0,0%,Casey
90098405,7,1,14%,Casey
90101274,33,3,9%,Casey
90102895,2,0,0%,Casey
90103318,52,4,8%,Casey
90104011,17,5,29%,Casey
90104983,3,1,33%,Casey
90107017,1,0,0%,Casey
90109179,7,2,29%,Casey
90111258,2,0,0%,Casey
90113108,1,0,0%,Casey
90115768,3,0,0%,Casey
90116155,6,0,0%,Casey
90117588,13,2,15%,Casey
90117635,5,2,40%,Casey
90119742,11,1,9%,Casey
90119860,7,0,0%,Casey
90119988,7,1,14%,Casey
90122677,6,1,17%,Casey
90123243,5,1,20%,Casey
90123255,3,1,33%,Casey
90123274,28,4,14%,Casey
90123339,1,0,0%,Casey
90124202,26,6,23%,Casey
90124438,21,5,24%,Casey
90124439,19,5,26%,Casey
90124445,9,1,11%,Casey
90124446,10,1,10%,Casey
90124447,21,2,10%,Casey
90124449,8,1,13%,Casey
90124491,5,1,20%,Casey
90124502,8,2,25%,Casey
90124543,8,1,13%,Casey
90124570,2,1,50%,Casey
90127515,1,0,0%,Casey
90137813,19,2,11%,Casey
90141465,3,0,0%,Casey
90141583,4,0,0%,Casey
90142824,4,1,25%,Casey
90142841,27,6,22%,Casey
90144951,12,4,33%,Casey
90145292,3,0,0%,Casey
90145323,2,0,0%,Casey
90145408,20,2,10%,Casey
90145489,13,1,8%,Casey
90145901,58,16,28%,Casey
90146286,1,0,0%,Casey
90148355,7,2,29%,Casey
90148374,4,1,25%,Casey
90154175,13,1,8%,Casey
90155074,10,2,20%,Casey
90161039,4,1,25%,Casey
90162082,8,2,25%,Casey
90000541,3,0,0%,MMC- Clayton
90002776,5,0,0%,MMC- Clayton
90004171,2,1,50%,MMC- Clayton
90006510,6,1,17%,MMC- Clayton
90007275,10,0,0%,MMC- Clayton
90015608,33,6,18%,MMC- Clayton
90016143,1,0,0%,MMC- Clayton
90018068,2,1,50%,MMC- Clayton
90018863,23,4,17%,MMC- Clayton
90020817,3,1,33%,MMC- Clayton
90023171,47,3,6%,MMC- Clayton
90024223,7,2,29%,MMC- Clayton
90028087,6,1,17%,MMC- Clayton
90028254,34,5,15%,MMC- Clayton
90031199,2,1,50%,MMC- Clayton
90033661,19,2,11%,MMC- Clayton
90033774,66,12,18%,MMC- Clayton
90033803,46,7,15%,MMC- Clayton
90044868,1,0,0%,MMC- Clayton
90051275,11,1,9%,MMC- Clayton
90052916,13,0,0%,MMC- Clayton
90053418,2,0,0%,MMC- Clayton
90057415,3,1,33%,MMC- Clayton
90059584,34,2,6%,MMC- Clayton
90060945,1,0,0%,MMC- Clayton
90060950,29,4,14%,MMC- Clayton
90061220,15,4,27%,MMC- Clayton
90071676,3,0,0%,MMC- Clayton
90071914,1,1,100%,MMC- Clayton
90072373,37,5,14%,MMC- Clayton
90074642,16,1,6%,MMC- Clayton
90075767,3,1,33%,MMC- Clayton
90077401,40,4,10%,MMC- Clayton
90078814,7,1,14%,MMC- Clayton
90080314,3,0,0%,MMC- Clayton
90081957,20,7,35%,MMC- Clayton
90082317,15,2,13%,MMC- Clayton
90082515,7,0,0%,MMC- Clayton
90082606,3,0,0%,MMC- Clayton
90082724,8,2,25%,MMC- Clayton
90083027,19,3,16%,MMC- Clayton
90091034,2,0,0%,MMC- Clayton
90093190,15,3,20%,MMC- Clayton
90097823,13,1,8%,MMC- Clayton
90098181,38,5,13%,MMC- Clayton
90099752,26,6,23%,MMC- Clayton
90100582,26,2,8%,MMC- Clayton
90101274,55,9,16%,MMC- Clayton
90103318,5,0,0%,MMC- Clayton
90104983,8,1,13%,MMC- Clayton
90109179,6,1,17%,MMC- Clayton
90113108,14,1,7%,MMC- Clayton
90115768,4,0,0%,MMC- Clayton
90117588,13,0,0%,MMC- Clayton
90117635,1,0,0%,MMC- Clayton
90119011,1,0,0%,MMC- Clayton
90119860,4,0,0%,MMC- Clayton
90119988,8,1,13%,MMC- Clayton
90122677,49,4,8%,MMC- Clayton
90123243,1,0,0%,MMC- Clayton
90123339,26,4,15%,MMC- Clayton
90124438,48,10,21%,MMC- Clayton
90124446,10,2,20%,MMC- Clayton
90124447,14,3,21%,MMC- Clayton
90124491,3,1,33%,MMC- Clayton
90124502,2,0,0%,MMC- Clayton
90124517,4,1,25%,MMC- Clayton
90124543,4,1,25%,MMC- Clayton
90124561,16,4,25%,MMC- Clayton
90127515,22,4,18%,MMC- Clayton
90137813,2,0,0%,MMC- Clayton
90141465,5,0,0%,MMC- Clayton
90142824,17,2,12%,MMC- Clayton
90142841,4,0,0%,MMC- Clayton
90144951,5,0,0%,MMC- Clayton
90145292,6,2,33%,MMC- Clayton
90145408,12,4,33%,MMC- Clayton
90145489,1,0,0%,MMC- Clayton
90145901,46,10,22%,MMC- Clayton
90146286,22,6,27%,MMC- Clayton
90148355,14,1,7%,MMC- Clayton
90153189,6,1,17%,MMC- Clayton
90154175,31,4,13%,MMC- Clayton
90155074,5,1,20%,MMC- Clayton
90161039,29,8,28%,MMC- Clayton
90162082,11,2,18%,MMC- Clayton
