Treating.Clinician,Number_of_patient_Seen,Number_of_patient_Seen_with_ondansetron,ondansetron_proportion
90136682,7,0,0%
90136838,27,0,0%
90136845,1,0,0%
90136849,11,0,0%
90136850,26,0,0%
90137813,2,0,0%
90138704,27,0,0%
90138705,51,1,2%
90138707,1,0,0%
90140139,5,0,0%
90141235,6,0,0%
90141465,5,0,0%
90141719,1,0,0%
90141884,11,0,0%
90142519,38,1,3%
90142824,17,0,0%
90142841,4,0,0%
90144405,99,0,0%
90144435,1,0,0%
90144443,28,0,0%
90144607,8,0,0%
90144736,24,0,0%
90144765,5,0,0%
90144787,21,1,5%
90144878,22,1,5%
90144901,17,0,0%
90144911,5,0,0%
90144951,5,0,0%
90145024,4,0,0%
90145085,17,0,0%
90145086,55,0,0%
90145218,19,0,0%
90145257,8,0,0%
90145261,1,0,0%
90145292,6,0,0%
90145296,4,1,25%
90145307,11,0,0%
90145390,34,0,0%
90145408,12,0,0%
90145489,1,0,0%
90145549,25,0,0%
90145738,19,0,0%
90145754,60,0,0%
90145901,46,4,9%
90146286,22,1,5%
90148355,14,1,7%
90148809,3,0,0%
90149605,17,0,0%
90150180,4,0,0%
90150775,2,0,0%
90153189,6,0,0%
90153195,5,0,0%
90153448,1,0,0%
90154175,31,0,0%
90155074,5,0,0%
90155188,67,0,0%
90155200,32,1,3%
90157612,33,0,0%
90159236,4,1,25%
90160332,4,0,0%
90160501,6,0,0%
90160513,1,0,0%
90160621,10,0,0%
90160636,2,0,0%
90160699,3,0,0%
90161039,29,0,0%
90161091,28,1,4%
90161185,1,0,0%
90161376,5,0,0%
90161873,34,1,3%
90162077,21,1,5%
90162078,20,0,0%
90162079,57,0,0%
90162080,5,0,0%
90162081,61,0,0%
90162082,11,1,9%
90162251,49,1,2%
90162252,46,0,0%
90162330,18,1,6%
90162599,47,0,0%
90162759,31,0,0%
90162896,33,0,0%
90165262,32,0,0%
90166103,12,0,0%
90166170,28,0,0%
90166333,4,0,0%
90166347,5,0,0%
